Categoria,Nom,Preu,Visible
clàssics,Truita patates amb pa tomàquet,5.00,sí
clàssics,Croqueta fart de pollastre (6 ud),9.00,sí
clàssics,"""ensaladilla russa""",5.00,sí
clàssics,Patates braves,6.00,sí
clàssics,Torreznos de cantabria,4.00,sí
bocata fart,Hamburguesa fart angus,5.00,sí
bocata fart,Falafel amb salsa d'encurtits,5.00,sí
bocata fart,Planxat de buti amb la nostre salsa,6.00,sí
bocata fart,Planxat de pollsatre amb brie,6.00,sí
rollitos,"Porc rostit, formatge, bacon i ceba",5.00,sí
rollitos,4 formatges amb ceba i melmelada,6.00,sí
rollitos,Rollito wonton,5.00,sí
from asia con love,Brocheta satay (2 unitats),4.00,sí
from asia con love,Brocheta teriyaki (2 unitats),4.00,sí
from asia con love,"Cruixent de pollastre, verdures, arros i salsa curry",9.00,sí
from asia con love,"Pollsatre amb cacahuets, verdures i arròs",9.00,sí
from asia con love,Arròs fart,7.00,sí
suggeriments,Camembert fart,5.00,sí
suggeriments,"""Gazpacho"" de remolatxa",4.00,sí
postres,Pastis formatge amb gerds d'enviny,5.00,sí
postres,Got de lemon curd,4.00,sí
postres,Got de quatre xocolates,3.00,sí
postres,Teules fart,4.00,sí
postres,Brownie,5.00,sí
birra,Estrella galicia canya,2.00,sí
birra,Estrella galicia mitjana,2.00,sí
birra,Estrella galicia 1906 canya,2.50,sí
birra,Estrella galicia 1906 botella,3.00,sí
begudes,Aigua de gerra,0.00,sí
begudes,Refresc,2.00,sí
begudes,Tonica,2.00,sí
begudes,Vichy catalan,2.00,sí
begudes,Vermouth,3.00,sí
begudes,Cafe,1.00,sí
begudes,Cigaló,2.00,sí
vins copa,Nu,5.00,sí
vins copa,Salvavides,4.00,sí
